user_id,username,full_name,email_address,phone_number,city,province,age,occupation,monthly_income,account_balance,consent_personalization,segment_ground_truth,total_spend,total_trx,fav_category,fav_method,E_Wallet_spend,Food_Beverage_spend,Internet_spend,Lifestyle_Entertainment_spend,Retail_Convenience_spend,Telco_spend,Transport_Mobility_spend,Utilities_spend,Apply Credit Card,Apply Loan,History Transaction,Insurance,Investment,My Schedule,QRIS,Savings,Tukar Point Xtra,Voucher,E_Wallet_ratio,Food_Beverage_ratio,Internet_ratio,Lifestyle_Entertainment_ratio,Retail_Convenience_ratio,Telco_ratio,Transport_Mobility_ratio,Utilities_ratio,engagement_score,spend_to_income,occupation_encoded,fav_category_encoded,fav_method_encoded,segment_ground_truth_encoded
1000,dongorankunthara,Okto Jailani,rahayusurya@example.org,+62-13-389-0838,Jayapura,Sulawesi Tengah,18,Fresh Graduate,2027150,986213,True,Student,12392199,83,Lifestyle & Entertainment,Bayar Tagihan,4477550,1457477,0,3567236,196606,2558584,0,134746,0,0,0,0,0,0,30,0,13,25,0.3613200238859928,0.11761244976678879,0.0,0.28786139668501154,0.01586530236761834,0.20646729394296412,0.0,0.01087345265570278,55,6.113110962133556,4,3,0,2
1001,adinata26,Darijan Sirait,iswahyudiprabawa@example.org,+62 (594) 078-1618,Sorong,Papua,25,Private Employee,14906820,17157347,True,Young Professional,13878822,77,Transport & Mobility,QRIS,0,1464734,8617074,368367,1697161,0,1588779,142707,13,0,0,0,23,0,0,15,0,0,0.0,0.10553733555071637,0.6208793065521478,0.02654165990876892,0.12228421675238599,0.0,0.11447505310788962,0.010282356075871852,38,0.9310383481494814,6,6,2,3
1002,cahyonogunawan,"T. Bahuwirya Pradipta, S.IP",dsetiawan@example.net,+62 (255) 341-9283,Pangkalpinang,Papua Barat,18,Student,1917034,1025850,True,Student,11883066,67,E-Wallet,Top Up,6730539,1488274,0,1815287,305664,1337364,205938,0,0,0,0,0,0,0,24,0,21,17,0.5663974628772185,0.12524325580256343,0.0,0.15276249809918602,0.02572265224121012,0.11254367243742713,0.017330374389036098,0.0,41,6.19866929920424,7,0,3,2
1003,siti83,"Cut Ghaliyati Firmansyah, S.Psi",esantoso@example.org,+62 (376) 724 2388,Tidore Kepulauan,Sulawesi Selatan,22,Student,3725812,2991570,True,Student,15147045,92,E-Wallet,QRIS,7408545,2151368,0,2881320,0,2426765,168876,110171,0,0,0,0,0,0,22,0,15,30,0.4891082393227036,0.14203218238064372,0.0,0.1902232290045201,0.0,0.16021374728775498,0.011149104584484659,0.007273431400419594,52,4.065433504043279,7,0,2,2
1004,otarihoran,Kacung Lailasari,hardiansyahdarmaji@example.org,+62 (69) 166-9784,Tangerang Selatan,Jambi,30,Freelancer,10536477,10886237,True,Freelancer,17797591,73,Transport & Mobility,QRIS,5972593,1061284,9349629,0,51339,288531,1074215,0,0,0,26,0,0,28,0,0,0,23,0.3355843307341802,0.05963076353250485,0.5253311234463629,0.0,0.002884603714929525,0.016211799888434346,0.06035732249621185,0.0,23,1.6891404319356051,3,6,2,1
1005,siska51,Jaeman Adriansyah,belinda28@example.org,+62 (0893) 252-8809,Pasuruan,Bali,35,Doctor,66851341,143444689,True,Established Professional,22822065,73,Retail & Convenience,QRIS,236880,0,12741617,218729,2322100,0,1037658,6265081,0,30,0,15,11,0,0,0,0,0,0.010379428400566364,0.0,0.5583025217787031,0.009584101632165993,0.10174801878147229,0.0,0.0454673122056522,0.27451857338419755,11,0.3413852933573121,1,4,2,0
1006,tarihoranluwes,Tomi Purnawati,hutasoitamalia@example.org,0822782489,Jambi,Kalimantan Selatan,43,Doctor,34449461,120353911,True,Established Professional,28180084,72,Utilities,Bayar Tagihan,0,165687,11397878,182026,1352627,0,873092,14208774,0,29,0,11,25,0,0,0,0,0,0.0,0.005879577723062226,0.4044657068990388,0.006459384348911652,0.04799939389820861,0.0,0.030982589300209706,0.5042133123445156,25,0.8180123103228724,1,7,0,0
1007,raditya57,Devi Prayoga,cagaksirait@example.org,0839301031,Magelang,DI Yogyakarta,18,Fresh Graduate,1405657,1555668,True,Student,8957505,71,Food & Beverage,QRIS,2124530,1465864,0,3225583,0,1529162,307601,304765,0,0,0,0,0,0,12,0,18,28,0.23717874149344695,0.1636464435524799,0.0,0.36009833540719927,0.0,0.1707129194219909,0.03434002723525946,0.03402342125140636,40,6.372463999066629,4,1,2,2
1008,kalimwinarsih,R.M. Nyoman Pertiwi,yprasasta@example.com,(031) 165-6670,Banjarmasin,Riau,54,Lawyer,22915909,153325926,True,Established Professional,21293074,68,Retail & Convenience,QRIS,47907,0,6460720,0,2636605,302268,621734,11223840,0,13,0,12,14,0,0,0,0,0,0.002249886406730827,0.0,0.3034188345271878,0.0,0.12382452980605196,0.014195601152017734,0.029198882735349402,0.5271122184090368,14,0.9291829999332342,5,4,2,0
1009,darimin33,Dina Anggraini,kalimhariyah@example.org,+62 (078) 108 0132,Pasuruan,Sulawesi Utara,21,Student,3315426,1279678,True,Student,9514748,65,Lifestyle & Entertainment,Bayar Tagihan,2415020,1119487,268646,4095620,233592,1382383,0,0,0,0,0,0,0,0,23,0,16,15,0.25381857156715326,0.11765806959279745,0.028234691214660525,0.43044961038909174,0.024550516256393103,0.14528843587991655,0.0,0.0,38,2.8698408983216943,7,3,0,2
